product_name,violation
Blackfoot keranjang belanja lipat 4 roda shopping cart keranjang anjing kucing pet troli trolley troli hewan,False
Blackfoot keranjang belanja lipat 4 roda shopping cart keranjang anjing kucing pet troli trolley troli hewa,False
BLACKFOOT shopping cart 2 roda keranjang belanja lipat troli folding keranjang anjing kucing pet stroller,False
mesin blower angin RICHU & KODENKI high speed hand blower anjing kucing komputer pets Murah,False
Mesin blower angin semprotan bulu anjing tekanan tinggi Richu / Kodenki hand blower computer cleaner,False
Tempat makan anjing kucing mangkuk stainless,False
Tempat tidur anjing kucing hewan peliharaan kayu jati belanda BRK643,False
Rumah kucing / Rumah anjing hewan peliharaan kayu jati belanda BRK643,False
Trendy Pet Bed (S) Anti Slip Busa Rebonded (Tempat tidur anjing kucing / hewan peliharaan),False
Trendy Cover / Sarung Pet Bed (M) (Tempat tidur anjing kucing / hewan peliharaan),False
Trendy Cover / Sarung Pet Bed (L) (Tempat tidur anjing kucing / hewan peliharaan),False
Trendy Cover / Sarung Pet Bed (S) (Tempat tidur anjing kucing / hewan peliharaan),False
Anjing lo,True
Bener bener kayak anjing lu,True
